Header,Type,Hash,Node Name,Content,Page Number,Location
"""BANK NEGARA MALAYSIA
CENTRAL BANK OF MALAYSIA""",Header,0f1a65b41850f22be8450c627eb9438f,BANK NEGARA MALAYSIA CENTRAL BANK OF MALAYSIA_0f1a65b41850f22be8450c627eb9438f,"""BANK NEGARA MALAYSIA
CENTRAL BANK OF MALAYSIA""",1,"""{'left': 0.6465087532997131, 'top': 0.11062317341566086, 'width': 0.23058205842971802, 'height': 0.02263641357421875, 'page': 1}"""
"""Compliance""",Header,d09658990136dccabd84274a6d9de5ab,Compliance_d09658990136dccabd84274a6d9de5ab,"""Compliance""",2,"""{'left': 0.12079829722642899, 'top': 0.04430396854877472, 'width': 0.08778557926416397, 'height': 0.011777407489717007, 'page': 2}"""
"""Compliance""",Header,53004a6f78e77a5f3cd5035766df7534,Compliance_53004a6f78e77a5f3cd5035766df7534,"""Compliance""",3,"""{'left': 0.11857596784830093, 'top': 0.04863087832927704, 'width': 0.08845439553260803, 'height': 0.012058389373123646, 'page': 3}"""
"""Compliance""",Header,07fdcf564edaf4d1183f8fce57b5cbaa,Compliance_07fdcf564edaf4d1183f8fce57b5cbaa,"""Compliance""",4,"""{'left': 0.11849945038557053, 'top': 0.048633918166160583, 'width': 0.08854103088378906, 'height': 0.012041994370520115, 'page': 4}"""
"""Compliance""",Header,840b80b87654f0c6ec0a3d724b1c3a35,Compliance_840b80b87654f0c6ec0a3d724b1c3a35,"""Compliance""",5,"""{'left': 0.11852824687957764, 'top': 0.04847867414355278, 'width': 0.08852744102478027, 'height': 0.012311131693422794, 'page': 5}"""
"""Compliance""",Header,229da61297912c7bc9733c9e45d20ad5,Compliance_229da61297912c7bc9733c9e45d20ad5,"""Compliance""",6,"""{'left': 0.11877261102199554, 'top': 0.04860176891088486, 'width': 0.08845443278551102, 'height': 0.012217970564961433, 'page': 6}"""
"""Compliance""",Header,747e07c6b6fb06898766b61480775e55,Compliance_747e07c6b6fb06898766b61480775e55,"""Compliance""",7,"""{'left': 0.11815258115530014, 'top': 0.04832562431693077, 'width': 0.089183509349823, 'height': 0.012554263696074486, 'page': 7}"""
"""Compliance""",Header,5f3af3582a34549d570ce66a3e876bcd,Compliance_5f3af3582a34549d570ce66a3e876bcd,"""Compliance""",8,"""{'left': 0.11842108517885208, 'top': 0.04844915121793747, 'width': 0.08873002231121063, 'height': 0.012391503900289536, 'page': 8}"""
"""Compliance""",Header,27de699124f4da92f7b23abc9806f1dc,Compliance_27de699124f4da92f7b23abc9806f1dc,"""Compliance""",9,"""{'left': 0.1187344416975975, 'top': 0.04859136417508125, 'width': 0.08847835659980774, 'height': 0.012207254767417908, 'page': 9}"""
"""Compliance""",Header,cee59e5e4750ad6d263b2d563febd962,Compliance_cee59e5e4750ad6d263b2d563febd962,"""Compliance""",10,"""{'left': 0.1188294067978859, 'top': 0.048701222985982895, 'width': 0.08829846233129501, 'height': 0.012015633285045624, 'page': 10}"""
"""Compliance""",Header,26db07db4502817391371add676ebc8c,Compliance_26db07db4502817391371add676ebc8c,"""Compliance""",11,"""{'left': 0.11871930956840515, 'top': 0.04856293648481369, 'width': 0.08851771056652069, 'height': 0.012280456721782684, 'page': 11}"""
"""Compliance""",Header,2e4da8c2b695d85cd7f981fd2d8b34f4,Compliance_2e4da8c2b695d85cd7f981fd2d8b34f4,"""Compliance""",12,"""{'left': 0.11839950829744339, 'top': 0.048471659421920776, 'width': 0.08864771574735641, 'height': 0.012285851873457432, 'page': 12}"""
