Section Header,Type,Hash,Node Name,Content,Page Number,Location
"""PART A OVERVIEW""",Section Header,f5f9f96d5d805f4e7d1ce832cc0e4937,PART A OVERVIEW_f5f9f96d5d805f4e7d1ce832cc0e4937,"""PART A OVERVIEW""",2,"""{'left': 0.12161262333393097, 'top': 0.13701675832271576, 'width': 0.21533408761024475, 'height': 0.011423029005527496, 'page': 2}"""
"""PART B POLICY REQUIREMENTS""",Section Header,b432259b7584d0d856d4e444985de1c2,PART B POLICY REQUIREMENTS_b432259b7584d0d856d4e444985de1c2,"""PART B POLICY REQUIREMENTS""",2,"""{'left': 0.12184204161167145, 'top': 0.2599840760231018, 'width': 0.348323792219162, 'height': 0.011437616311013699, 'page': 2}"""
"""PART A OVERVIEW""",Section Header,5feb986fe20fb5de66a9d110a602f280,PART A OVERVIEW_5feb986fe20fb5de66a9d110a602f280,"""PART A OVERVIEW""",3,"""{'left': 0.11967095732688904, 'top': 0.10117337107658386, 'width': 0.24662472307682037, 'height': 0.013068168424069881, 'page': 3}"""
"""1 Introduction""",Section Header,1ce9f6267c7404bc6f29825b40c66c77,1 Introduction_1ce9f6267c7404bc6f29825b40c66c77,"""1 Introduction""",3,"""{'left': 0.11931300908327103, 'top': 0.13938571512699127, 'width': 0.17529398202896118, 'height': 0.011485385708510876, 'page': 3}"""
"""2 Applicability""",Section Header,b40b39316424cdf190158e1c173048e8,2 Applicability_b40b39316424cdf190158e1c173048e8,"""2 Applicability""",3,"""{'left': 0.11853062361478806, 'top': 0.8034616112709045, 'width': 0.17927202582359314, 'height': 0.01437158789485693, 'page': 3}"""
"""3 Legal provisions""",Section Header,a878a69b7a0e10e0b5dd1f3c02c82049,3 Legal provisions_a878a69b7a0e10e0b5dd1f3c02c82049,"""3 Legal provisions""",4,"""{'left': 0.1188984140753746, 'top': 0.10411255806684494, 'width': 0.21844744682312012, 'height': 0.014139189384877682, 'page': 4}"""
"""4 Effective date""",Section Header,c097483e4d870f1651a3fbbf31e1f380,4 Effective date_c097483e4d870f1651a3fbbf31e1f380,"""4 Effective date""",4,"""{'left': 0.11828619241714478, 'top': 0.27720338106155396, 'width': 0.1900542974472046, 'height': 0.011653391644358635, 'page': 4}"""
"""5 Interpretation""",Section Header,da2a46ebf01d7a06d709c6c2fb8a0bda,5 Interpretation_da2a46ebf01d7a06d709c6c2fb8a0bda,"""5 Interpretation""",4,"""{'left': 0.11902937293052673, 'top': 0.3515316843986511, 'width': 0.18843974173069, 'height': 0.014070941135287285, 'page': 4}"""
"""PART B POLICY REQUIREMENTS""",Section Header,499dcdb601259bb3cbce85ce364ed632,PART B POLICY REQUIREMENTS_499dcdb601259bb3cbce85ce364ed632,"""PART B POLICY REQUIREMENTS""",6,"""{'left': 0.11967218667268753, 'top': 0.10073091834783554, 'width': 0.402100533246994, 'height': 0.014558111317455769, 'page': 6}"""
"""6 Responsibilities of the board and senior management""",Section Header,91f5ccdce7837fc5c8ab0b3ed7e14e54,6 Responsibilities of the board and senior managem..._91f5ccdce7837fc5c8ab0b3ed7e14e54,"""6 Responsibilities of the board and senior management""",6,"""{'left': 0.1188773512840271, 'top': 0.13884839415550232, 'width': 0.5736518502235413, 'height': 0.015251309610903263, 'page': 6}"""
"""Responsibilities of senior management""",Section Header,26342c4f3533e56f55513945dccc9f9c,Responsibilities of senior management_26342c4f3533e56f55513945dccc9f9c,"""Responsibilities of senior management""",7,"""{'left': 0.11629561334848404, 'top': 0.10037972033023834, 'width': 0.37596866488456726, 'height': 0.01446125004440546, 'page': 7}"""
"""	- 7 Organisation of the compliance function""",Section Header,6cdf24899c11cedfa54a1f48658033a1,- 7 Organisation of the compliance function_6cdf24899c11cedfa54a1f48658033a1,"""	- 7 Organisation of the compliance function""",8,"""{'left': 0.11978224664926529, 'top': 0.4150858521461487, 'width': 0.4438144564628601, 'height': 0.0146074453368783, 'page': 8}"""
